pid,AUC,Precision,F1,Recall
p205,0.767296605,0.307692308,0.296296296,0.285714286
p241,0.695991962,0.2,0.111111111,0.076923077
p255,0.585680388,0.346153846,0.225,0.166666667
p256,0.7326401,0.333333333,0.228571429,0.173913043
p260,0.66460018,0.384615385,0.294117647,0.238095238
p269,0.765921245,0.4,0.338983051,0.294117647
p272,0.850563607,0.4,0.285714286,0.222222222
p274,0.705587498,0.083333333,0.068965517,0.058823529
p276,0.760648148,0,0,0
p281,0.705637505,0.15,0.098360656,0.073170732
p282,0.759362426,0.363636364,0.275862069,0.222222222
p285,0.725674716,0.620689655,0.493150685,0.409090909
p289,0.786363636,0.555555556,0.322580645,0.227272727
p291,0.634689635,0.111111111,0.057142857,0.038461538
p292,0.615862573,0.2,0.086956522,0.055555556
p293,0.809796438,0.5,0.5,0.5
p295,0.741524001,0.25,0.153846154,0.111111111
p298,0.656429942,0.4,0.19047619,0.125
p307,0.753440496,0.387096774,0.263736264,0.2
p308,0.707087385,0.431818182,0.336283186,0.275362319
p311,0.762369706,0.142857143,0.111111111,0.090909091
p312,0.826954733,0.222222222,0.222222222,0.222222222
p313,0.836489588,0.222222222,0.142857143,0.105263158
p314,0.615916149,0.222222222,0.125,0.086956522
p319,0.803159498,0.438596491,0.381679389,0.337837838
p321,0.719350282,0,0,0
p322,0.788955545,0.422222222,0.31147541,0.246753247
p323,0.903846154,0.777777778,0.736842105,0.7
p324,0.732103102,0.083333333,0.048780488,0.034482759
p325,0.509548313,0,0,0
p330,0.657545455,0.5,0.324324324,0.24
p331,0.731851852,0.214285714,0.153846154,0.12
p333,0.731845505,0.439393939,0.391891892,0.353658537
p334,0.910945274,0.6,0.6,0.6
p337,0.680017802,0.5,0.222222222,0.142857143
p338,0.673610592,0.391304348,0.222222222,0.155172414
p339,0.598354525,0.5,0.322580645,0.238095238
p343,0.745259392,0.5,0.380952381,0.307692308
p345,0.659025546,0.307692308,0.222222222,0.173913043
p347,0.817778198,0.714285714,0.550458716,0.447761194
p349,0.850178891,0.666666667,0.714285714,0.769230769
p350,0.863395468,0.533333333,0.31372549,0.222222222
p351,0.85026738,0.25,0.285714286,0.333333333
p352,0.793333333,0,0,0
p353,0.788601645,0.277777778,0.181818182,0.135135135
p356,0.741569282,0.25,0.1875,0.15
p357,0.621413642,0.090909091,0.066666667,0.052631579
p358,0.764095314,0.461538462,0.328767123,0.255319149
p360,0.437325473,0,0,0
p361,0.646857143,0,0,0
p364,0.838095238,0.666666667,0.4,0.285714286
p366,0.875739645,0.5,0.380952381,0.307692308
p372,0.879194631,0.571428571,0.5,0.444444444
p373,0.730341942,0.555555556,0.425531915,0.344827586
p374,0.830016529,0.142857143,0.0625,0.04
p375,0.696553581,0,0,0
p381,0.703125,0.5,0.2,0.125
p382,0.7821426,0.424242424,0.378378378,0.341463415
p386,0.605082823,0.204545455,0.165137615,0.138461538
p391,0.810920407,0.375,0.2,0.136363636