pid,AUC,AUC_old,fitbit_steps_intraday_rapids_stdsteps,fitbit_heartrate_intraday_rapids_modehr,phone_locations_doryab_avgspeed,phone_screen_rapids_sumdurationunlock,fitbit_heartrate_intraday_rapids_stdhr,fitbit_steps_intraday_rapids_minsteps,phone_wifi_visible_rapids_countscansmostuniquedevice,phone_screen_rapids_countepisodeunlock,fitbit_steps_intraday_rapids_mindurationactivebout,phone_locations_doryab_numberofsignificantplaces,phone_wifi_visible_rapids_uniquedevices,phone_locations_doryab_maxlengthstayatclusters,fitbit_steps_intraday_rapids_sumsteps,fitbit_heartrate_intraday_rapids_avghr,phone_screen_rapids_firstuseafter00unlock,phone_locations_doryab_homelabel,phone_battery_rapids_countdischarge,phone_battery_rapids_sumdurationdischarge,phone_battery_rapids_sumdurationcharge,phone_locations_doryab_loglocationvariance,phone_locations_doryab_totaldistance,phone_screen_rapids_mindurationunlock,fitbit_heartrate_intraday_rapids_minutesonfatburnzone,phone_locations_doryab_locationvariance,phone_battery_rapids_maxconsumptionrate,fitbit_heartrate_intraday_rapids_minhr,fitbit_steps_intraday_rapids_avgdurationactivebout,fitbit_steps_intraday_rapids_maxdurationactivebout,phone_locations_doryab_radiusgyration,phone_locations_doryab_locationentropy,fitbit_heartrate_intraday_rapids_entropyhr,fitbit_heartrate_intraday_rapids_maxhr,phone_locations_doryab_movingtostaticratio,phone_locations_doryab_avglengthstayatclusters,phone_screen_rapids_maxdurationunlock,phone_locations_doryab_timeattop3location,phone_locations_doryab_minlengthstayatclusters,phone_wifi_visible_rapids_countscans,fitbit_steps_intraday_rapids_countepisodesedentarybout,fitbit_steps_intraday_rapids_stddurationsedentarybout,fitbit_heartrate_intraday_rapids_minutesoncardiozone,fitbit_heartrate_intraday_rapids_medianhr,fitbit_heartrate_intraday_rapids_diffminmodehr,fitbit_heartrate_intraday_rapids_minutesonoutofrangezone,fitbit_heartrate_intraday_rapids_diffmaxmodehr,phone_battery_rapids_countcharge,fitbit_steps_intraday_rapids_maxsteps,fitbit_steps_intraday_rapids_avgsteps,phone_locations_doryab_timeattop1location,phone_locations_doryab_timeattop2location,phone_screen_rapids_avgdurationunlock,phone_locations_doryab_stdlengthstayatclusters,phone_locations_doryab_numberlocationtransitions,fitbit_steps_intraday_rapids_countepisodeactivebout,fitbit_heartrate_intraday_rapids_minutesonpeakzone,phone_battery_rapids_avgconsumptionrate,fitbit_steps_intraday_rapids_maxdurationsedentarybout,fitbit_steps_intraday_rapids_sumdurationactivebout,phone_locations_doryab_normalizedlocationentropy,fitbit_steps_intraday_rapids_sumdurationsedentarybout,fitbit_steps_intraday_rapids_mindurationsedentarybout,fitbit_steps_intraday_rapids_avgdurationsedentarybout,Precision,F1,Recall
p205,0.767296605,0.786354901,-0.104640059,-1.048887849,0,-0.075700223,-0.036694739,4.29E-05,-0.955489159,0.000191775,-0.072306924,-0.001052863,-0.009192832,-0.059404634,-0.147225723,-0.077931546,-0.113079794,-8.14E-05,-0.002075307,-0.693318844,-0.001018277,-0.000592713,0,-0.049404327,0.000714233,-0.009159407,-0.131165639,-0.384107411,-0.011433231,-0.000739722,0,-6.96E-06,-0.015438872,-0.132359028,-0.000120104,7.62E-05,-0.019801179,0,-0.000147711,-0.060089085,9.59E-05,-0.079296798,0,-0.024248539,-0.390188456,-0.149738759,0.028948968,8.53E-06,-0.532755315,0,-0.632464886,1.92E-05,-0.000128857,1.58E-05,6.65E-06,-0.012392391,0,0,-0.089071661,-0.018284161,0,-0.009338982,-0.264972001,-0.022955742,0.307692308,0.296296296,0.285714286
p241,0.695991962,0.679245283,-0.240970269,-0.209404513,-0.090630382,-0.040422957,-0.569069088,0,-0.77729243,-0.017919287,-0.043832667,0,-0.024103159,-0.088768683,-0.250781298,-0.174969748,-0.893894911,0,-0.003119724,-0.103928819,-0.00069867,-0.012863065,-0.006921053,-0.023483425,-0.000456532,-0.000432797,-0.029852234,-0.150427982,-0.164051756,-0.003149129,-0.022623518,-0.000361328,-0.225904465,-0.063583769,-0.001375582,4.35E-05,-0.007661315,-0.604629338,-0.010370372,-0.053276643,-0.030575179,-0.074373186,0,-0.093464769,-0.321021408,0.002389434,-0.272347778,0,-0.108476788,0,-0.410474896,0,-0.010781063,-0.027218992,0,-0.131826356,0,0,-0.309392303,-0.069244929,-0.040897705,-0.019201823,0.000805438,-0.013536618,0.2,0.111111111,0.076923077
p255,0.585680388,0.63091922,-0.168684617,-0.500939608,-0.019545337,-0.033932216,-0.162977457,0,-0.004974209,0.010143723,-0.008274423,-0.001382258,-0.114967532,0.014989264,-0.142336622,-0.316773683,-0.097366832,-0.00074682,-0.003068265,-0.010562588,-0.184404537,-0.031420328,-0.005600108,-0.007132513,-0.017597795,-0.01286169,-0.02199016,-0.301724613,-0.02779921,-0.003719172,8.31E-07,1.76E-05,-0.37635538,-0.171463698,-0.002759643,-0.000586003,-0.047361668,-0.031466767,-0.000676611,-0.022432305,-0.006859468,-0.093935944,0,-0.149426609,-0.068476804,-0.135983184,-0.118019521,-1.41E-05,-0.328080267,0,-0.032602608,-0.14041467,0.003902037,-7.34E-06,-1.77E-05,-0.007901529,0,0,-0.07139954,-0.012700224,0,-0.012395744,-0.040491141,-0.02924571,0.346153846,0.225,0.166666667
p256,0.7326401,0.745830135,-0.320869803,-0.093806081,-0.062562123,-0.23639752,-0.23626934,8.91E-05,-0.655089498,-0.029022418,-0.019409519,-7.95E-05,-1.60E-06,-0.539750457,-0.203080624,-0.35574621,-0.488709629,0,-0.002919692,-0.176356256,-0.242586821,-0.344281882,-0.079327583,-0.239425167,-0.040937036,-0.005361719,-0.142459825,-0.022200035,-0.183672786,-0.029751156,-0.004588412,-0.000897181,-0.266365767,-0.052259061,-0.176364183,-0.027367638,-0.070917547,-0.030902347,-0.099279106,-0.000325745,-0.012498286,-0.102325439,0,-0.046274848,-0.11862237,-0.007999692,-0.148862779,0,-0.105570517,0,-0.277365565,-0.121449262,-0.058532048,-0.000366288,0,-0.020949161,0,-0.019790947,-0.1336876,-0.009330873,-0.000904365,-0.014561615,-0.006625473,-0.007716479,0.333333333,0.228571429,0.173913043
p260,0.66460018,0.63081761,-0.271375805,-0.248628259,-0.06272044,-0.096209683,-0.828828096,-0.05928516,-0.031981848,-0.014948766,-0.000759929,0.000189923,-0.003889293,-0.149273798,-0.110338591,-0.418699265,-0.35228911,0,-0.002478567,-0.025342433,-1.02E-06,-0.003400123,-0.006319944,-0.006136398,0.000353402,-0.002753124,-0.152513698,-0.321037889,4.47E-05,-0.000310216,-0.001578189,-0.025207231,-0.462274969,-0.353827387,-0.375212818,-0.001558376,-0.000662369,0,-0.000767905,-0.155909419,-0.054423701,0.045057252,-0.005216139,-0.013619429,-0.388309568,-0.151038975,-0.168221071,0,-0.128752396,0,-0.152043536,-0.027304219,-0.002014223,-0.000672147,-9.26E-06,-8.40E-05,0,0,-0.105213434,-0.017387107,-0.000140647,-0.205781505,-0.0193385,-0.046749026,0.384615385,0.294117647,0.238095238
p269,0.765921245,0.822152001,-0.0993407,-0.220362306,-0.00365725,-0.0377861,-0.17504783,-6.81E-05,-0.013358971,-0.043984801,-0.017114794,-0.003113065,-0.000612588,-0.028831549,-0.255934179,-0.265388459,-1.049930811,-0.002824024,-0.000959312,-0.002814591,0.00016783,-0.001858518,6.11E-05,-0.055480823,0.000630732,1.70E-05,0.002336888,-0.566874623,-0.012016898,-0.029503526,-6.31E-05,0,-0.39406091,-0.224884808,-0.0116636,-0.000704018,-0.010824766,-0.336346209,0,0.004718865,-0.112319127,-0.069318749,0,-0.014449455,-0.160321698,-0.078911714,-0.222176284,0,-0.145711541,0,-0.158735752,-0.125347376,-0.025199249,0,-0.000227843,-0.022238243,0,0,-0.062007163,-0.033930808,0,-0.091092817,-0.045859218,-0.029107274,0.4,0.338983051,0.294117647
p272,0.850563607,0.895330113,-0.156767488,-0.282124937,0,-0.905444324,-0.362980008,0.000174401,2.06E-05,0,-0.027003368,0.000182536,-0.529142559,-0.065394327,-0.066412106,-0.160834968,0,-0.000205,0,0,0,0,0,0,-0.010231495,0.001882688,0,-1.566010594,-0.005332637,-0.011173648,0,0,-0.128693983,-0.023489192,2.48E-05,0,0,0.001459691,0,0,-0.008740917,-0.138080791,0,-0.582009971,-0.02068753,0,-0.057982635,0,-0.010576854,0,-0.527293384,-0.17272608,0,0,0,0.000112244,0,0,-0.069031782,-0.036232263,0,-0.017349606,-0.036529586,-0.017556081,0.4,0.285714286,0.222222222
p274,0.705587498,0.715612561,-0.05905262,-0.137223244,-0.027691497,-0.431778908,-0.07869029,-0.004293161,-0.134712383,-0.018030023,-0.042773917,-0.027617177,-0.048094153,-0.870286703,-0.055605486,-0.066319026,-0.133890435,-0.147218898,-0.005678025,0.007239324,0,-0.011438321,-0.010729607,-0.199617445,-0.368875682,-0.017122213,-0.500719309,-0.184103563,-0.003437419,0.000107443,0,0,-0.097708657,-0.10049849,-0.023067538,0,-0.010044197,0,0,-0.436818451,-0.009747739,-0.011125862,0,-0.034764383,-0.168670043,-0.421244979,-0.051058169,0,-0.034564,-0.010631304,-0.349346995,-0.05449868,-0.072906092,0,0,-0.000626823,0,0,-0.193269417,-0.007732859,0,-0.016518969,-0.138196379,-0.066802263,0.083333333,0.068965517,0.058823529
p276,0.760648148,0.70462963,0,0.002174117,-0.00063738,-0.73179692,-0.007042205,0,-0.067561924,-0.014101813,-3.93E-05,0,-0.343040526,-0.000435871,-0.000181566,-0.185835555,-1.477373123,0,-0.00058069,-0.1690761,-0.837369144,-0.000872706,-0.026728896,0.026169844,-0.000101323,0,-0.190838024,-0.000525227,0,0,0,0,-0.025109159,-0.000161882,0,0,-1.007214546,0,0,-0.304929465,0,-0.000323224,0,-0.005929054,-0.519919157,-0.166367471,-0.067886084,0,0,0,-0.16322282,0,-0.007259704,0,0,0,0,0,0,-4.80E-05,0,0,-2.48E-05,0,0,0,0
p281,0.705637505,0.678180225,-0.145382419,-0.151342511,-0.015629767,-0.194447026,-0.087392591,-2.02E-05,-0.248241737,-0.036334947,-0.010742126,0.000656729,-0.042318437,-0.379601657,-0.214210227,-0.087476045,-0.321200192,-0.00012153,-0.051506598,-0.146025524,-0.016984222,-0.02839932,0.00053966,-0.086561278,-0.016957307,-0.001535748,-0.135829806,-0.04996581,-0.021057969,-0.044767339,-5.66E-06,-0.001878934,-0.154460162,-0.035933141,-0.001873842,-0.001413912,-0.114780091,-0.01285365,-0.001034974,-0.053504363,-0.012411076,-0.070667237,6.35E-05,-0.221852168,-0.15062958,-0.034261275,-0.220093071,-3.28E-05,-0.118485831,0,-0.137566015,-0.020678276,-0.06155397,-0.000150002,-3.08E-05,-0.019335758,0,-0.009675788,-0.16409409,-0.085501097,0,-0.026731096,-0.042048182,-0.058276419,0.15,0.098360656,0.073170732
p282,0.759362426,0.746053853,-0.150288776,-0.135036707,-0.023246815,-0.814264417,-0.389800042,-0.008337122,-0.025222743,-0.000123618,-0.079513907,3.86E-05,0.022105252,-0.035684273,-0.151173219,-0.925965667,-0.000665246,-0.000283956,-0.000185123,5.26E-05,0,0.00011839,-0.003214178,1.15E-05,-0.001245923,0.000125371,-0.475286037,-0.339537561,-0.041778155,-0.103681892,0,0,-0.489094466,-0.332075179,-0.016971787,1.91E-05,-0.000515076,0,8.35E-06,-0.02846268,-0.02750363,-0.143496573,0,-0.163008153,-0.372304201,-0.01068017,-0.170580387,0,-0.040633775,0,-0.349808335,-0.001182312,-0.000426501,0,0,-0.001327194,0,-0.000536889,-0.15831317,-0.013814831,0,-0.027678195,-0.011066796,-0.078473583,0.363636364,0.275862069,0.222222222
p285,0.725674716,0.741122159,-0.18614611,-0.115057535,-0.015335474,-0.068182476,-0.085574009,-7.81E-05,-0.205919191,-0.008221888,-0.005423026,-1.77E-05,-0.077715464,-0.044682413,-0.145466864,-0.156844035,-0.351922721,-1.36E-05,-0.001309868,-0.015572557,-0.012016254,-0.019473849,-0.026865397,-0.147924408,-0.004318709,-0.187132537,-0.019916093,-0.178122103,-0.036773652,-0.00784296,0,-2.51E-05,-0.132708028,-0.088169537,-0.074527755,-0.000240386,-0.008777041,0,-0.000749042,-0.214962915,-0.008551854,-0.325474501,0,-0.06924589,-0.144527018,-1.27E-05,-0.137831599,0,-0.057707578,0,-0.29592675,-0.014008909,-0.002675829,-0.0003677,0,-0.020749083,0,0,-0.034617499,-0.004109537,-0.001771452,-0.021963138,-0.073390096,-0.006410455,0.620689655,0.493150685,0.409090909
p289,0.786363636,0.815584416,-0.113566913,-0.191417977,-0.003200623,-0.215764791,-0.451173902,0,-0.023914015,-0.020736534,-0.061534874,-0.001577652,-0.054298483,-0.114162266,-0.132505879,-0.069486514,-0.475544095,-0.035626717,-0.00018293,-0.460061848,1.52E-05,-0.032759871,-0.002258304,-0.11410334,-0.02608436,-0.000497766,-0.222682521,-0.045305297,-0.050815281,1.48E-05,-0.015363151,-2.41E-05,-0.390554637,-0.485264808,-0.006153419,-0.00160901,-0.099549554,-0.185414821,-0.002267596,-0.007968603,0.002154918,-0.19600755,0,-0.168750361,-0.169454649,0.001157663,-0.026234046,0,-0.104992986,0,-0.065714397,-0.2837798,-0.010770305,-0.000609952,-0.005406062,-0.008873357,0,0,-0.022329258,-0.045689072,-6.87E-05,-0.008054126,-0.004880025,-0.031940065,0.555555556,0.322580645,0.227272727
p291,0.634689635,0.636694387,-0.139187023,-0.138317034,-0.216463968,-0.112727597,-0.171487808,0,-0.241029233,-0.019710662,-0.086724296,-0.013009128,0.000205088,-0.151151061,-0.106895141,-0.491067767,-0.326787174,0.000173909,-0.000783,-0.123337016,-0.001219229,-0.215585589,-0.121273197,-0.142264202,-0.0022467,-0.205728531,-0.072869152,-0.163159534,-0.04695309,-0.079471014,-0.008126372,-0.000191478,-0.338908702,-0.076129667,-0.05978772,-0.279468298,-0.027762458,-0.000570041,-0.007878102,-2.57E-06,-0.055835918,-0.267545491,0,-0.153439805,-0.113618597,-0.092648208,-0.266557544,-0.000126724,-0.361061513,0,-0.127034783,-0.13089104,-0.007807019,-0.001219327,0.00012428,-0.050342951,0,-0.000111461,-0.011897453,-0.039768148,-0.00081887,-0.001840284,-0.058553766,-0.078879118,0.111111111,0.057142857,0.038461538
p292,0.615862573,0.651315789,-0.336849719,-0.352728248,-0.005767552,-0.034900989,-0.062511154,0,-0.184941009,-0.059811361,-0.006301462,6.79E-05,-0.212234691,-0.218215346,-0.434666455,-0.435327888,-0.2089127,0,-0.001454467,-0.053192157,-0.004190933,-0.00070256,-0.094739042,-0.021676568,-0.000970059,-0.012809553,-0.000279495,-0.041216448,-0.029115262,-0.019574795,-0.000851679,0,-0.262592494,-0.078018986,-0.004895234,-0.021404035,-0.016387457,-0.107463077,-0.006971575,-0.318376631,-0.056466896,-0.087336764,0,-0.133013368,-0.184761986,-0.00327164,-0.108539037,0,-0.315315545,0,-0.141095638,-0.017505487,-0.018423695,-0.00028213,1.57E-05,-0.024648409,0,0,-0.223874539,-0.048235107,0,-0.004637,-0.109366491,-0.322243482,0.2,0.086956522,0.055555556
p293,0.809796438,0.824745547,1.93E-05,-0.127135217,-0.905431628,-0.063117377,0,0,-1.630580544,-0.001770678,0,0,0,-1.011941433,0,0,-0.10492225,0,-0.009833432,-0.322513908,-0.158211827,-1.215810537,-0.224900737,-0.010805809,0,-0.203485996,-0.023386551,0,0,0,0,0,0,0,-0.000283008,0,-0.010787891,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.137918681,-0.328011781,-0.16445154,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5
p295,0.741524001,0.906344411,-0.018574681,-0.063818671,-0.199449271,-0.001099214,-1.08853972,-0.000108713,-0.049322773,0,-0.278422177,0,-0.545879245,-0.160961896,-0.011544721,-0.334457725,-0.024379315,0,-0.006124179,-0.528160214,-0.002840869,-0.28692767,-0.009225497,0,-0.000966839,-0.002539687,-0.066531971,-0.054659035,-0.1615192,0.000166755,0,0,-0.013189137,-0.178866193,-0.083303168,-0.00620818,0,-0.042280447,0,-1.889538407,-0.000183528,-0.070870645,0,-0.025236318,-0.052701037,-0.034930721,-0.035426471,0,-0.323837042,0,0,-0.08648476,0,0,0,0.000140804,0,0,-0.012722483,-0.021825181,0,-0.131016254,-0.006314727,-0.001595526,0.25,0.153846154,0.111111111
p298,0.656429942,0.549424184,-0.018845271,-0.082515314,-0.561899781,-0.198380828,-0.179287687,7.08E-05,-0.083891071,-0.009456201,5.07E-06,0,-0.010221187,-0.675290048,-0.015116194,-0.300386697,-0.386630148,0,-0.000560674,-0.044292916,-0.002373111,-1.29169786,-0.201063067,-0.132558092,2.13E-05,0,-0.009486433,-0.157347381,-0.149168342,-0.000218116,0,0,-0.63505739,-0.088875413,-0.009894038,-0.029699666,-0.170861036,-0.003169942,0,0.005738247,-0.009851923,-0.014350307,0,-0.031182842,-0.105658926,-0.000541229,-0.036842752,0,-0.131503761,0,-0.071080819,-0.267230064,-0.005343899,0,0,-0.001412518,0,0,-0.001437942,-0.047776833,0,-0.000247198,-0.007691559,-0.001602429,0.4,0.19047619,0.125
p307,0.753440496,0.728905809,-0.176875412,-0.076153323,-0.239014283,-0.068612412,-0.170767665,-3.98E-05,-0.052042685,-0.018374221,-0.002213687,-0.004484598,-0.027887154,-0.078172714,-0.309400231,-0.086245388,-0.445701301,0,-0.001550058,-0.134032473,-0.105467111,-0.297846347,-0.142002687,-0.023073571,-0.030174537,-0.050996665,-0.061813366,-0.588573515,-0.043146465,-0.007496283,0.000619045,-0.06090251,-0.155707747,-0.094682261,-0.020112371,-0.015510905,-0.122621015,-0.001022913,-0.007125213,-0.045417327,-0.009661185,-0.037475646,0,-0.105355784,-0.162446305,-0.009388462,-0.19680962,-1.74E-07,-0.063923478,0,-0.522372663,-0.035481982,-0.094475411,-0.015998514,-0.000844863,-0.012593182,0,0,-0.042084549,-0.01801548,-0.000710321,-0.001448311,-0.028065424,-0.015209909,0.387096774,0.263736264,0.2
p308,0.707087385,0.745979331,-0.197111949,-0.090664081,-0.397882938,-0.140289307,-0.162441745,-0.003905223,-0.066375859,-0.021174569,-0.065771438,-0.000391387,-0.015259794,-0.213470772,-0.028348967,-0.09446086,-0.38702333,-5.34E-05,-0.001933979,-0.015630022,-0.007344458,-0.303236514,-0.158366174,-0.044269577,-0.003291449,-0.028210884,-0.036163092,-0.060253039,-0.103489749,-0.015437271,-0.005821738,0.000126242,-0.108134918,-0.078791104,-0.19206886,-0.030547095,-0.013122743,-7.83E-05,-0.007402677,-1.26E-05,-0.032639276,-0.101467818,-0.000639431,-0.01368375,-0.098518588,-0.001789226,-0.202810749,-0.000153615,-0.173203155,0,-0.190933019,-0.083565392,-0.06764818,-0.001400401,-0.00740381,-0.036784347,0,0.001311977,-0.204962671,-0.00748994,0,-0.008496664,-0.09017431,-0.038429473,0.431818182,0.336283186,0.275362319
p311,0.762369706,0.65892598,-0.095433414,-0.115299866,-0.316438287,-0.702601552,-0.104577497,-0.005276148,-0.225069776,-0.002959724,-0.032785229,0,-0.000369938,-0.02299636,-0.187381938,0.000986568,-0.126253277,0,-0.042505287,-0.055373743,-0.00026947,-0.883785129,-0.534893453,-0.133123815,-0.005548161,-3.08E-05,-0.012253067,-1.28072691,-0.042239498,-0.010597673,0,0,-0.739549279,-0.143420145,-0.01158544,-3.39E-05,-0.050726123,0,0,-0.15572989,-0.011121931,-0.042118277,0,-0.002495576,-0.019844515,-0.181249216,-0.238253653,1.63E-05,-0.095168762,0,-0.333759636,7.14E-05,-0.248646811,0,0,-2.28E-05,0,-0.000135397,-0.000804386,-0.113433436,0,0.000705115,-0.00763791,-0.000758924,0.142857143,0.111111111,0.090909091
p312,0.826954733,0.813580247,-0.003619779,-0.036048453,0,-0.140004843,-0.643043935,-0.010593445,0,4.99E-05,-0.326448053,0.00026852,-0.599389553,0,-0.587702096,-0.728049994,-0.329465508,-0.469154567,0,0,0,0,0,0.000398217,-0.029578885,0,0,-0.948103309,-0.2416282,-0.004113774,0,0,-0.116164722,-0.384480953,0,0,-8.50E-05,0,0,0,-0.001027758,-0.303298563,0,-0.114805952,-0.097421594,-0.233525768,-0.01932364,0,-0.20849207,0,0,0,-4.35E-05,0,0,-0.015535172,0,0,-0.144577667,-0.060423102,0,-0.002484452,-0.060006078,-0.002199259,0.222222222,0.222222222,0.222222222
p313,0.836489588,0.829316281,-0.142119691,-0.101526409,-0.122820012,-0.245494679,-0.257731527,0,-0.167613402,-0.015164239,-0.048621103,0,-0.158375397,-0.070165329,-0.096442737,-0.238235816,-0.44823873,0,-0.000778378,-0.150673702,-0.113613188,-0.080695868,-0.080586396,-0.089587867,-0.030744558,0,-0.187302262,-0.105222307,-0.044500079,-0.008118468,-7.66E-06,0,-0.09032663,-0.692300081,-0.0300478,-5.63E-06,-0.079637296,-0.110239655,-3.23E-06,-0.213815957,-0.011724726,-0.078624576,0,-0.496984154,-0.029154127,-0.274783224,-0.251440734,-0.015643416,-0.22664395,0,-0.101406902,-0.065056652,-0.2691091,0,0,-0.01760672,0,-0.007454128,-0.097879671,-0.059215754,0,-0.03511871,-0.037988234,-0.105276048,0.222222222,0.142857143,0.105263158
p314,0.615916149,0.652872671,-0.124847271,-0.399850637,-0.188859776,-0.034814693,-0.19852148,0,-0.013739973,-0.021988457,-0.026061894,-0.017695323,-0.011285054,-0.081312105,-0.093063504,-0.45189172,-0.563217461,0,-0.000661988,-0.504795074,0.000761749,-0.10743726,-0.103468746,-0.127552345,-0.026377181,-0.019373039,-0.37548992,-0.254268825,-0.092353486,-0.007961677,-0.000129286,-0.002252199,-0.295098275,-0.19225648,-0.015519759,0.001176958,-0.020073464,0,-0.005723853,-0.017557366,-0.091051266,-0.096855827,0,-0.188811123,-0.243416429,-0.019385697,-0.167075679,-8.35E-06,-0.044539489,0,-0.167144194,-0.030252799,-0.033878546,-0.000892364,5.16E-05,-0.033111613,0,-0.00757148,-0.177697256,-0.200791523,-8.63E-05,-0.037286662,-0.155101255,-0.066087723,0.222222222,0.125,0.086956522
p319,0.803159498,0.792577084,-0.042800717,-0.063245691,-0.505056083,-0.035849083,-0.141352758,-1.92E-05,-0.130915925,-0.001267027,-0.004126155,-0.00078763,-0.003362977,-0.088339776,-0.057028554,-0.188207686,-0.261736691,-0.001564988,-0.014954186,-0.050688874,-0.005278284,-0.172188982,-0.108253442,-0.0606394,-0.003003631,-0.046362966,-0.032546602,-0.213287517,-0.052431937,-0.016482914,-0.000118115,6.84E-05,-0.340761304,-0.066361964,-0.12405204,0.001788354,-0.014072068,-0.000974754,-1.01E-05,-0.001976915,-0.011614063,-0.144477844,-0.003558002,-0.068995446,-0.043604188,0.001231939,-0.170731306,0,-0.096696541,0,-0.500019968,0.004100312,-0.006155352,-4.36E-05,-0.000896022,-0.017743804,0,0,-0.009316914,-0.017707098,-3.23E-05,-0.010647806,-0.021403946,-0.020760033,0.438596491,0.381679389,0.337837838
p321,0.719350282,0.685310734,-0.109956734,-0.204389319,-0.194603801,-0.058181014,-0.305038601,-0.005271356,-0.05356203,-0.001082434,-0.353583246,0,-0.239532158,-0.147399619,-0.070422582,-0.400574237,-0.80372107,0,0,-0.015373308,-0.000278887,-0.148640081,-0.218229458,-0.021136371,-0.000177435,9.97E-05,-0.04278129,-0.177229673,-0.013482176,-0.017970202,0,0,-0.087292619,-0.000528767,-0.096359953,-0.004791054,-0.009449641,0,0,-0.002691405,-0.001722469,-0.336084962,0,-0.248148248,-0.104987375,-0.001110104,-0.022719001,0,-0.03413799,0,0.000124613,-1.756514907,-0.000654709,0,-1.18E-05,-0.227096841,0,-0.000318649,-0.295781523,-0.116411723,0,-0.033407338,-0.10814181,-0.026133101,0,0,0
p322,0.788955545,0.816160151,-0.087533265,-0.087651543,-0.28825295,-0.10462109,-0.349797428,0,-0.1410124,0.0004022,-0.002624311,-1.16E-05,-0.203243122,-0.135071859,-0.058555882,-0.190239549,-0.80048418,-0.001916873,-0.045300454,-0.222546041,-0.07246805,-0.18805407,-0.136166126,-0.049601909,-0.02321163,0,-0.105342366,-0.109224945,-0.005458264,-7.32E-05,-1.24E-05,0.000399735,-0.290835261,-0.141941488,-0.188125417,0.000315756,-0.039256491,-4.20E-06,-4.34E-05,-0.195013121,-0.007658559,-0.047460657,0,-0.078034513,-0.042839129,-0.094732933,-0.065793715,0,-0.066911437,0,-0.159198686,-0.018410945,-0.029341489,0.000265299,-6.71E-05,-0.000930842,0,-0.000115762,-0.007407749,-0.011416992,0,-0.000476857,-0.025938887,-0.01738064,0.422222222,0.31147541,0.246753247
p323,0.903846154,0.861538462,0.008549009,-0.104467764,-0.057347111,-0.002041136,0.010585172,0,-0.49915579,0,-0.051470403,0,0,-0.045859654,-0.008288075,0.000222926,-0.368812531,0,-0.00292692,-0.035238266,0,0.002561954,-0.032458588,-0.001702826,0,0,0,-0.069306478,0.00220981,-0.005230248,0,0,-0.002173403,0,0,0,0,0,0,0,-0.003210768,-0.053765777,0,-0.003987154,-0.001398548,0.011278675,0,0,0.014629286,0,0,0,0,0,0,0,0,0,-0.001210216,-0.012739297,0,-0.035246957,-0.029750053,0.002203624,0.777777778,0.736842105,0.7
